timeframe,rsi_at_entry,ema_diff,volume_ratio,session,htf_bias,trade_direction,sl_distance_points,entry_price,result,pnl_points,EnteredAt,ExitedAt,ExitPrice,PnL,Size,duration_seconds
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24748.5,loss,-37.0,2026-03-12 13:32:03+00:00,2026-03-12 13:33:31+00:00,24785.5,-1110.0,15,87.761429
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24783.75,win,37.5,2026-03-12 13:33:34+00:00,2026-03-12 13:34:08+00:00,24821.25,1125.0,15,34.756159
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24813.5,loss,-71.75,2026-03-12 13:35:27+00:00,2026-03-12 13:45:23+00:00,24741.75,-143.5,1,595.849708
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24809.5,loss,-67.75,2026-03-12 13:35:31+00:00,2026-03-12 13:45:23+00:00,24741.75,-135.5,1,591.922685
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24682.25,loss,-9.0,2026-03-12 13:47:42+00:00,2026-03-12 13:47:56+00:00,24691.25,-270.0,15,14.274831
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24704.75,win,27.75,2026-03-12 13:48:13+00:00,2026-03-12 13:49:18+00:00,24732.5,832.5,15,65.041922
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24702.5,win,26.75,2026-03-12 13:52:36+00:00,2026-03-12 13:53:46+00:00,24675.75,802.5,15,69.661763
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24691.0,win,59.75,2026-03-13 13:39:38+00:00,2026-03-13 13:43:52+00:00,24750.75,119.5,1,253.097719
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24691.25,win,59.5,2026-03-13 13:39:39+00:00,2026-03-13 13:43:52+00:00,24750.75,119.0,1,252.926002
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24743.25,loss,-15.25,2026-03-13 13:51:16+00:00,2026-03-13 13:52:23+00:00,24758.5,-30.5,1,66.924209
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24743.75,loss,-14.75,2026-03-13 13:51:23+00:00,2026-03-13 13:52:23+00:00,24758.5,-29.5,1,59.489466
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24773.0,win,8.5,2026-03-13 13:52:40+00:00,2026-03-13 13:54:21+00:00,24781.5,17.0,1,101.32571
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24773.0,win,8.5,2026-03-13 13:52:40+00:00,2026-03-13 13:54:21+00:00,24781.5,17.0,1,101.150463
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24785.0,win,2.0,2026-03-13 13:54:31+00:00,2026-03-13 13:54:34+00:00,24787.0,60.0,15,3.096802
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24790.75,loss,-21.0,2026-03-13 13:55:00+00:00,2026-03-13 13:56:06+00:00,24769.75,-630.0,15,66.096398
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24753.0,win,23.25,2026-03-13 13:56:15+00:00,2026-03-13 13:59:13+00:00,24729.75,697.5,15,177.443208
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24695.5,loss,-18.75,2026-03-16 14:36:21+00:00,2026-03-16 14:37:49+00:00,24676.75,-37.5,1,88.477523
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24696.0,loss,-19.25,2026-03-16 14:36:21+00:00,2026-03-16 14:37:49+00:00,24676.75,-38.5,1,87.845326
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24672.75,win,26.0,2026-03-16 14:37:59+00:00,2026-03-16 14:38:53+00:00,24646.75,780.0,15,54.236431
