Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2273210093,MNQH6,03/12/2026 15:32:03 +02:00,03/12/2026 15:33:31 +02:00,24748.500000000,24785.500000000,11.10000,-1110.000000000,15,Short,03/12/2026 00:00:00 -05:00,00:01:27.7614290,
2273228923,MNQH6,03/12/2026 15:33:34 +02:00,03/12/2026 15:34:08 +02:00,24783.750000000,24821.250000000,11.10000,1125.000000000,15,Long,03/12/2026 00:00:00 -05:00,00:00:34.7561590,
2273500142,MNQH6,03/12/2026 15:35:27 +02:00,03/12/2026 15:45:23 +02:00,24813.500000000,24741.750000000,0.74000,-143.500000000,1,Long,03/12/2026 00:00:00 -05:00,00:09:55.8497080,
2273500147,MNQH6,03/12/2026 15:35:31 +02:00,03/12/2026 15:45:23 +02:00,24809.500000000,24741.750000000,0.74000,-135.500000000,1,Long,03/12/2026 00:00:00 -05:00,00:09:51.9226850,
2273603374,MNQH6,03/12/2026 15:47:42 +02:00,03/12/2026 15:47:56 +02:00,24682.250000000,24691.250000000,11.10000,-270.000000000,15,Short,03/12/2026 00:00:00 -05:00,00:00:14.2748310,
2273643136,MNQH6,03/12/2026 15:48:13 +02:00,03/12/2026 15:49:18 +02:00,24704.750000000,24732.500000000,11.10000,832.500000000,15,Long,03/12/2026 00:00:00 -05:00,00:01:05.0419220,
2273779885,MNQH6,03/12/2026 15:52:36 +02:00,03/12/2026 15:53:46 +02:00,24702.500000000,24675.750000000,11.10000,802.500000000,15,Short,03/12/2026 00:00:00 -05:00,00:01:09.6617630,
2281080172,MNQH6,03/13/2026 15:39:38 +02:00,03/13/2026 15:43:52 +02:00,24691.000000000,24750.750000000,0.74000,119.500000000,1,Long,03/13/2026 00:00:00 -05:00,00:04:13.0977190,
2281080175,MNQH6,03/13/2026 15:39:39 +02:00,03/13/2026 15:43:52 +02:00,24691.250000000,24750.750000000,0.74000,119.000000000,1,Long,03/13/2026 00:00:00 -05:00,00:04:12.9260020,
2281284012,MNQH6,03/13/2026 15:51:16 +02:00,03/13/2026 15:52:23 +02:00,24743.250000000,24758.500000000,0.74000,-30.500000000,1,Short,03/13/2026 00:00:00 -05:00,00:01:06.9242090,
2281284014,MNQH6,03/13/2026 15:51:23 +02:00,03/13/2026 15:52:23 +02:00,24743.750000000,24758.500000000,0.74000,-29.500000000,1,Short,03/13/2026 00:00:00 -05:00,00:00:59.4894660,
2281342097,MNQH6,03/13/2026 15:52:40 +02:00,03/13/2026 15:54:21 +02:00,24773.000000000,24781.500000000,0.74000,17.000000000,1,Long,03/13/2026 00:00:00 -05:00,00:01:41.3257100,
2281342098,MNQH6,03/13/2026 15:52:40 +02:00,03/13/2026 15:54:21 +02:00,24773.000000000,24781.500000000,0.74000,17.000000000,1,Long,03/13/2026 00:00:00 -05:00,00:01:41.1504630,
